text_id,word,prev_word,next_word,prefix,suffix,BIO,POS,head,head_id,deprel
777,Dis,<START>,Manibus,Dis,Dis,O,NOUN,Manibus,2,case
777,Manibus,Dis,Marco,Man,bus,O,PROPN,militavit,9,obl
777,Marco,Manibus,Ulpio,Mar,rco,B-PERS:PRAE,PROPN,militavit,9,obl:arg
777,Ulpio,Marco,Viatori,Ulp,pio,B-PERS:NOMEN,PROPN,Marco,3,flat:name
777,Viatori,Ulpio,equiti,Via,ori,B-PERS:COG,PROPN,Marco,3,flat:name
777,equiti,Viatori,singulari,equ,iti,O,NOUN,Marco,3,appos
777,singulari,equiti,Augusti,sin,ari,O,ADJ,Marco,3,amod
777,Augusti,singulari,militavit,Aug,sti,O,PROPN,libertus,18,nmod
777,militavit,Augusti,annos,mil,vit,O,VERB,militavit,9,ROOT
777,annos,militavit,VI,ann,nos,O,NOUN,vixit,12,obj
777,VI,annos,vixit,VI,VI,O,NUM,annos,10,nummod
777,vixit,VI,annos,vix,xit,O,VERB,militavit,9,conj
777,annos,vixit,XXII,ann,nos,O,NOUN,vixit,12,obj
777,XXII,annos,Marcus,XXI,XII,O,NUM,annos,13,nummod
777,Marcus,XXII,Ulpius,Mar,cus,B-PERS:PRAE,PROPN,fecit,22,nsubj
777,Ulpius,Marcus,Augusti,Ulp,ius,B-PERS:NOMEN,PROPN,Marcus,15,flat:name
777,Augusti,Ulpius,libertus,Aug,sti,B-PERS:FILI,PROPN,libertus,18,nmod
777,libertus,Augusti,Dorus,lib,tus,I-PERS:FILI,NOUN,Marcus,15,appos
777,Dorus,libertus,fratri,Dor,rus,B-PERS:COG,PROPN,Marcus,15,appos
777,fratri,Dorus,pientissimo,fra,tri,I-PERS,NOUN,fecit,22,obl:arg
777,pientissimo,fratri,fecit,pie,imo,O,ADJ,fratri,20,amod
777,fecit,pientissimo,<END>,fec,cit,O,VERB,militavit,9,conj
508,Iovi,<START>,Optimo,Iov,ovi,O,PROPN,libentes,17,obl:arg
508,Optimo,Iovi,Maximo,Opt,imo,O,ADJ,Iovi,1,amod
508,Maximo,Optimo,Titus,Max,imo,O,PROPN,Iovi,1,flat:name
508,Titus,Maximo,Flavius,Tit,tus,B-PERS:PRAE,PROPN,Iovi,1,flat
508,Flavius,Titus,Augusti,Fla,ius,B-PERS:NOMEN,PROPN,Titus,4,flat:name
508,Augusti,Flavius,libertus,Aug,sti,B-PERS:FILI,PROPN,liberta,15,nmod
508,libertus,Augusti,Alypus,lib,tus,I-PERS:FILI,NOUN,Titus,4,appos
508,Alypus,libertus,XLquadragesimae,Aly,pus,I-PERS,PROPN,Iovi,1,appos
508,XLquadragesimae,Alypus,Galli,XLq,mae,O,ADJ,Galli,10,amod
508,Galli,XLquadragesimae,carum,Gal,lli,B-PERS,PROPN,Iovi,1,conj
508,carum,Galli,et,car,rum,O,ADJ,Iovi,1,appos
508,et,carum,Claudia,et,et,O,CCONJ,Claudia,13,cc
508,Claudia,et,Augusti,Cla,dia,B-PERS:NOMEN,PROPN,carum,11,conj
508,Augusti,Claudia,liberta,Aug,sti,B-PERS:FILI,PROPN,liberta,15,nmod
508,liberta,Augusti,Alexandria,lib,rta,I-PERS:FILI,NOUN,Claudia,13,appos
508,Alexandria,liberta,libentes,Ale,ria,B-PERS:COG,PROPN,carum,11,orphan
508,libentes,Alexandria,merito,lib,tes,O,ADJ,libentes,17,ROOT
508,merito,libentes,<END>,mer,ito,O,VERB,libentes,17,obl
896,Dis,<START>,Manibus,Dis,Dis,O,NOUN,Manibus,2,case
896,Manibus,Dis,Caio,Man,bus,O,PROPN,fecit,10,obl
896,Caio,Manibus,Pomponio,Cai,aio,B-PERS:PRAE,PROPN,Manibus,2,flat
896,Pomponio,Caio,Pothino,Pom,nio,B-PERS:NOMEN,PROPN,Caio,3,flat:name
896,Pothino,Pomponio,patri,Pot,ino,B-PERS:COG,PROPN,Caio,3,flat:name
896,patri,Pothino,Caius,pat,tri,O,NOUN,Caio,3,appos
896,Caius,patri,Pomponius,Cai,ius,B-PERS:PRAE,PROPN,Caius,7,conj
896,Pomponius,Caius,Genialis,Pom,ius,B-PERS:NOMEN,PROPN,Caius,12,flat:name
896,Genialis,Pomponius,fecit,Gen,lis,B-PERS:COG,ADJ,Caius,7,appos
896,fecit,Genialis,et,fec,cit,O,VERB,fecit,10,ROOT
896,et,fecit,Caius,et,et,O,CCONJ,Caius,12,cc
896,Caius,et,Pomponius,Cai,ius,B-PERS:PRAE,PROPN,Caius,7,conj
896,Pomponius,Caius,Cai,Pom,ius,B-PERS:NOMEN,PROPN,Caius,12,flat:name
896,Cai,Pomponius,filius,Cai,Cai,B-PERS:FILI,PROPN,filius,15,nmod
896,filius,Cai,Iustus,fil,ius,I-PERS:FILI,NOUN,Caius,12,appos
896,Iustus,filius,nepos,Ius,tus,B-PERS:COG,PROPN,Caius,12,appos
896,nepos,Iustus,<END>,nep,pos,O,NOUN,Caius,12,appos
923,Quintus,<START>,Catius,Qui,tus,B-PERS:PRAE,PROPN,Quintus,1,conj
923,Catius,Quintus,Quinti,Cat,ius,B-PERS:NOMEN,PROPN,Quintus,1,flat:name
923,Quinti,Catius,libertus,Qui,nti,B-PERS:FILI,PROPN,libertus,17,nmod
923,libertus,Quinti,Arist,lib,tus,I-PERS:FILI,NOUN,Quintus,14,appos
923,Arist,libertus,Uri,Ari,ist,B-PERS:COG,PROPN,Quintus,1,flat:name
923,Uri,Arist,Si,Uri,Uri,O,PROPN,Arist,5,nmod
923,Si,Uri,Turpio,Si,Si,O,PUNCT,Arist,5,conj
923,Turpio,Si,Turi,Tur,pio,O,ADJ,Si,7,conj
923,Turi,Turpio,Min,Tur,uri,O,PROPN,Si,7,conj
923,Min,Turi,Opi,Min,Min,O,PROPN,Arist,5,conj
923,Opi,Min,Licaius,Opi,Opi,B-PERS:NOMEN,NOUN,Min,10,nmod
923,Licaius,Opi,Decmi,Lic,ius,B-PERS:COG,PROPN,Arist,5,conj
923,Decmi,Licaius,Quintus,Dec,cmi,B-PERS:FILI,PROPN,Arist,5,nmod
923,Quintus,Decmi,Fabius,Qui,tus,B-PERS:PRAE,PROPN,Quintus,1,conj
923,Fabius,Quintus,Quinti,Fab,ius,B-PERS:NOMEN,PROPN,Quintus,14,flat:name
923,Quinti,Fabius,libertus,Qui,nti,B-PERS:FILI,PROPN,libertus,17,nmod
923,libertus,Quinti,<END>,lib,tus,I-PERS:FILI,NOUN,Quintus,14,appos
34,Dis,<START>,Manibus,Dis,Dis,O,NOUN,Manibus,2,case
34,Manibus,Dis,et,Man,bus,O,PROPN,genuit,39,obl
34,et,Manibus,memoriae,et,et,O,CCONJ,dedicaverunt,64,cc
34,memoriae,et,aeternae,mem,iae,O,NOUN,Manibus,2,conj
34,aeternae,memoriae,Valeri,aet,nae,O,ADJ,memoriae,4,amod
34,Valeri,aeternae,Sattioli,Val,eri,B-PERS:NOMEN,VERB,Nigidia,22,nmod
34,Sattioli,Valeri,civis,Sat,oli,B-PERS:COG,PROPN,Valeri,6,amod
34,civis,Sattioli,Viennensis,civ,vis,O,NOUN,Valeri,6,appos
34,Viennensis,civis,ex,Vie,sis,B-LOC,ADJ,civis,8,amod
34,ex,Viennensis,gente,ex,ex,O,ADP,quo,38,case
34,gente,ex,Galerianorum,gen,nte,O,NOUN,civis,8,nmod
34,Galerianorum,gente,negotiatori,Gal,rum,B-LOC,PROPN,gente,11,nmod
34,negotiatori,Galerianorum,artis,neg,ori,O,NOUN,Valeri,6,appos
